sep=,
index,exp_1,exp_2,sin_1,cos_1
0,1.0472695180514415,1.0122730947471759,0.010102032115090906,1.089599401797744
1,1.2080990446625082,1.2367827285185724,0.2715805542843436,0.9243407790916275
2,1.5187881855924779,1.511929194150098,0.3426192927669178,0.9774051818340351
3,1.7415112359647804,1.8389319807702005,0.5295240267030904,0.8869849404187726
4,2.265207181992384,2.130231146027954,0.681803888922561,0.7223495345362216
5,2.699078611805926,2.8179768863773624,0.7435792265545977,0.5438593788636235
6,3.291905140658238,3.2460401839966915,0.865043507365443,0.33358721681757764
7,4.065884376801954,4.056562805880257,0.8893716722717929,0.1273256147695941
8,4.86680071160145,4.926122181079435,0.9041985425647204,-0.048452095581802176
9,6.01320303525237,6.090597274301724,1.00545539968342,-0.20498139377432917
10,7.359656643890342,7.4255094081407,0.9094436040814499,-0.3166153785790665
11,9.107716751618888,9.038565648838777,0.7754176229199454,-0.5489760916066976
12,11.064731993750819,11.072396519980062,0.6050892721242623,-0.8304922109761663
13,13.51211137910033,13.491525246559828,0.5191012371303481,-0.866876685605987
14,16.379346163261793,16.48582419719426,0.25727167398208917,-0.9715213483091186
15,20.17179648358309,20.138175953796885,0.1822174370502076,-1.0125585980534104
16,24.61268446673042,24.622463016771103,-0.035725217354884334,-0.9816428458642457
17,30.015934154144613,29.90375037410626,-0.2991489317564963,-0.9148549658400122
18,36.57411954203008,36.6971371712642,-0.42431060684101485,-0.8743902262110969
19,44.737028954838266,44.76733714391909,-0.6039729499287987,-0.8791627443359982
20,54.61365847793386,54.53819351770226,-0.8540943566404164,-0.6380330118576706
21,66.60765892632243,66.61657365587678,-0.8211853505982281,-0.4931540534816134
22,81.36133846721178,81.4203121947539,-0.9035496861125847,-0.39588969160921755
23,99.56831851740714,99.57840945764914,-0.9712389758760616,-0.07868067993287917
24,121.50927771742842,121.48204930087884,-0.9435088474459975,0.07474449837876998
25,148.47455118662188,148.36767458892191,-0.9128809996760956,0.25689238336839154
26,181.36417164171306,181.24743814604747,-0.909932038461676,0.4679974244926428
27,221.3857277814233,221.39971865198382,-0.8671168371095874,0.6971142475025875
28,270.34749889266146,270.47218701325045,-0.712028164452187,0.7231446634468026
29,330.3360550272446,330.24467648427094,-0.39936310804351705,0.901443211308265
30,403.457347906395,403.38265137906865,-0.29099638045057585,1.05308335175987
31,492.8488254951131,492.79157210415923,-0.18036969217145438,1.0402953894239735
32,601.9227892210943,601.8690108267476,0.1737508045016972,1.0104605592676454
33,735.0461952560746,735.0357775962112,0.26374223970481364,1.0172376540204566
34,897.7521083964772,897.747851509635,0.4415163611987872,0.8559771128057804
35,1096.5387947252514,1096.7082297733175,0.7238801783926423,0.7497007750821835
36,1339.484295605294,1339.466871973354,0.8559263341393142,0.5923666564854789
37,1636.0006826046767,1635.887475655327,0.9700515403906728,0.5169665535787358
38,1998.2919651228235,1998.110026079172,0.9652640810646171,0.18331581540351824
39,2440.6524290165785,2440.5311775304717,1.0200554653006055,-0.02298115366992419
40,2981.008909182322,2980.9923366326348,1.0532001372112993,-0.15614802140454936
41,3641.0150944989527,3641.03434377917,0.9035059729803605,-0.38431241416984
42,4447.073717317031,4447.0194412525,0.9527114795301728,-0.4586490177049568
43,5431.611804586252,5431.578911108883,0.6460617352568481,-0.6980763441851242
44,6634.2550484064095,6634.217518476284,0.6506206543461065,-0.7502296453551289
45,8103.095439271074,8103.128555600108,0.4150010881090137,-0.940723540825412
46,9897.118012472556,9897.221353862746,0.19947387676091557,-0.9357319769009476
47,12088.454786511158,12088.404974682078,-0.011215303083199159,-0.9856521011567875
48,14764.73792282935,14764.69292378198,-0.10380127140006931,-1.0123274887664728
49,18033.670628751526,18033.833958266256,-0.38013603795564166,-0.9251928004082082
50,22026.44073268432,22026.525221763735,-0.4813299122893018,-0.8487731113962614
51,26903.11827833838,26903.248854369554,-0.7399551530357635,-0.7751780357452671
52,32859.66649506135,32859.69469058247,-0.7302745161143716,-0.6091091473249336
53,40134.78947901146,40134.914312513065,-0.9658157874673102,-0.42947345227159045
54,49020.75383380154,49020.89851465509,-0.9934304032307074,-0.2778140741055235
55,59874.22063043665,59874.084481902464,-0.9265504993248351,0.07223497502011086
56,73130.46049128928,73130.34950409336,-0.9956052596006523,0.25637010918763875
